,domain,source
0,interpretermag.com,['mbfc']
1,10news.one,['mbfc']
2,21stcenturywire.com,"['opensources', 'mbfc']"
3,us24news.com,['mbfc']
4,100percentfedup.com,"['allcott', 'opensources', 'mbfc']"
5,theatlantic.com,['mbfc']
6,whitehouse.gov,['mbfc']
7,247newsmedia.com,"['mbfc', 'politifact']"
8,2ndvote.com,['mbfc']
9,38north.org,['mbfc']
10,680news.com,['mbfc']
11,71republic.com,['mbfc']
12,369news.net,['mbfc']
13,9news.com.au,['mbfc']
14,911truth.org,['mbfc']
15,asheepnomore.net,['mbfc']
16,972mag.com,['mbfc']
17,abcnews.go.com,['mbfc']
18,abc.net.au,['mbfc']
19,abc11.com,['mbfc']
20,abriluno.com,"['opensources', 'mbfc']"
21,abcnews-us.com,"['buzzfeed', 'mbfc']"
22,abovetopsecret.com,"['opensources', 'mbfc']"
23,avoiceformen.com,['mbfc']
24,abovethelaw.com,['mbfc']
25,abeldanger.org,['mbfc']
26,news.abs-cbn.com,['mbfc']
27,academia.org,['mbfc']
28,aclu.org,['mbfc']
29,aim.org,['mbfc']
30,aceflashman.wordpress.com,"['opensources', 'mbfc']"
31,acculturated.com,['mbfc']
32,act.tv,['mbfc']
33,latitudes.org,['mbfc']
34,acting-man.com,"['opensources', 'mbfc']"
35,advocate.com,"['opensources', 'mbfc']"
36,africanarguments.org,['mbfc']
37,africanews.com,['mbfc']
38,activistmommy.com,['mbfc']
39,affinitymagazine.us,['mbfc']
40,activistpost.com,"['opensources', 'mbfc']"
41,awdnews.com,"['opensources', 'mbfc']"
42,aeon.co,['mbfc']
43,addictinginfo.com,['mbfc']
44,adobochronicles.com,"['buzzfeed', 'opensources', 'mbfc']"
45,ageofautism.com,['mbfc']
46,ageofshitlords.com,['mbfc']
47,ac2news.com,['mbfc']
48,afp.com,['mbfc']
49,airspacemag.com,['mbfc']
50,agerpres.ro,['mbfc']
51,english.ahram.org.eg,['mbfc']
52,airwars.org,['mbfc']
53,akkadiantimes.com,['mbfc']
54,alhayat.com,['mbfc']
55,english.alarabiya.net,['mbfc']
56,albawaba.com,['mbfc']
57,almasdarnews.com,['mbfc']
58,beaconjournal.com,['mbfc']
59,aljazeera.com,['mbfc']
60,al-monitor.com,['mbfc']
61,eng.majalla.com,['mbfc']
62,al.com,['mbfc']
63,al-sura.com,['mbfc']
64,altoday.com,['mbfc']
65,alreporter.com,['mbfc']
66,guttmacher.org,['mbfc']
67,democratherald.com,['mbfc']
68,timesunion.com,['mbfc']
69,adn.com,['mbfc']
70,abqjournal.com,['mbfc']
71,allnewspipeline.com,"['allcott', 'opensources', 'mbfc']"
72,allenwestrepublic.com,['mbfc']
73,securingdemocracy.gmfus.org,['mbfc']
74,adfontesmedia.com,['mbfc']
75,allgov.com,['mbfc']
76,alliedprogress.org,['mbfc']
77,afj.org,['mbfc']
78,adflegal.org,"['opensources', 'mbfc']"
79,allthatsfab.com,['mbfc']
80,allianceforadvancedhealth.com,['mbfc']
81,alphanewsmn.com,['mbfc']
82,alt-market.com,"['opensources', 'mbfc']"
83,amtvmedia.com,"['opensources', 'mbfc']"
84,alternativenewsnetwork.net,"['allcott', 'mbfc']"
85,alternativenews.com,['mbfc']
86,alternet.org,"['opensources', 'mbfc']"
87,americanactionforum.org,['mbfc']
88,amny.com,['mbfc']
89,althealthworks.com,['mbfc']
90,americablog.com,"['opensources', 'mbfc']"
91,aidc.org.za,['mbfc']
92,amazingnews.net,['mbfc']
93,altnewsmedia.net,['mbfc']
94,aaas.org,['mbfc']
95,aap.org,['mbfc']
96,americanbridgepac.org,['mbfc']
97,amarillo.com,['mbfc']
98,aclj.org,['mbfc']
99,americamagazine.org,['mbfc']
100,americanaffairsjournal.org,['mbfc']
101,acpeds.org,['mbfc']
