,bias,domain,h,M,L,n,P,factual_rating,u,p,f,t
0,left-center,interpretermag.com,https://interpretermag.com,48,59223,Interpreter Magazine,51,HIGH,https://mediabiasfactcheck.com/the-interpreter-magazine/,/,,
1,fake-news,10news.one,https://10news.one,29,2011,10News.one,31,LOW,https://mediabiasfactcheck.com/10news-one/,/,https://facebook.com/10newsdotone,https://twitter.com/10newsdotone
2,conspiracy,21stcenturywire.com,https://21stcenturywire.com,53,332291,21st Century Wire,79,MIXED,https://mediabiasfactcheck.com/21st-century-wire/,/,https://facebook.com/21wire.tv,
3,fake-news,us24news.com,https://us24news.com,28,527,24 News,17,LOW,https://mediabiasfactcheck.com/24-news/,/,,
4,fake-news,100percentfedup.com,https://100percentfedup.com,47,97906,100% Fed up,62,LOW,https://mediabiasfactcheck.com/100-percent-fed-up/,/,https://facebook.com/100percentfedup,
5,left-center,theatlantic.com,https://theatlantic.com,76,2576226,Atlantic,94,HIGH,https://mediabiasfactcheck.com/the-atlantic/,/,https://facebook.com/theatlantic,https://twitter.com/theatlantic
6,right,whitehouse.gov,https://whitehouse.gov,71,398919,Whitehouse.gov,81,MOSTLY FACTUAL,https://mediabiasfactcheck.com/whitehouse-gov/,/,https://facebook.com/whitehouse,https://twitter.com/whitehouse
7,fake-news,247newsmedia.com,https://247newsmedia.com,17,213,247 News Media,15,VERY LOW,https://mediabiasfactcheck.com/247-news-media/,/,,
8,right,2ndvote.com,https://2ndvote.com,42,708,2ndVote,28,MIXED,https://mediabiasfactcheck.com/2ndvote/,/,,https://twitter.com/2ndvote
9,center,38north.org,https://38north.org,54,82340,38 North,60,HIGH,https://mediabiasfactcheck.com/38-north/,/,https://facebook.com/38northnk,
10,center,680news.com,https://680news.com,56,410703,680 News,48,HIGH,https://mediabiasfactcheck.com/680-news/,/,https://facebook.com/680news,https://twitter.com/680news
11,right-center,71republic.com,https://71republic.com,38,19485,71 Republic,33,HIGH,https://mediabiasfactcheck.com/71-republic/,/,https://facebook.com/71republic,https://twitter.com/71republicmedia
12,conspiracy,369news.net,https://369news.net,39,1969,369 News,30,MIXED,https://mediabiasfactcheck.com/369news/,/,https://facebook.com/369universe,
13,right-center,9news.com.au,https://9news.com.au,58,712940,9 News (Australia),82,HIGH,https://mediabiasfactcheck.com/9-news-australia/,/,https://facebook.com/9news,https://twitter.com/9newsaus
14,conspiracy,911truth.org,https://911truth.org,53,255060,911Truth.org,75,LOW,https://mediabiasfactcheck.com/911truth-org/,/,https://facebook.com/twowayradioshow,
15,conspiracy,asheepnomore.net,https://asheepnomore.net,42,21733,A Sheep No More,43,LOW,https://mediabiasfactcheck.com/a-sheep-no-more/,/,https://facebook.com/asheepnomore,
16,left-center,972mag.com,https://972mag.com,55,222307,972 Magazine,73,HIGH,https://mediabiasfactcheck.com/972-magazine/,/,https://facebook.com/972magazine,https://twitter.com/972mag
